Ano,Mês,Unidade Federativa,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTAÇÃO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,COFINS - FINANCEIRAS,COFINS - DEMAIS,PIS/PASEP - FINANCEIRAS,PIS/PASEP - DEMAIS,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS,CPSSS,OUTRAS RECEITAS ADMINISTRADAS
2021,Junho,MT,3154518.25,3279.39,0.00,4660742.64,16227.64,2915224.03,4745474.49,99750341.12,164590.72,153351571.93,88620842.97,7044074.18,5991997.76,5423020.66,29740590.06,3603627.10,350124.50,176564208.41,59004.35,66247657.44,233013.37,112170925.36,393814.45,28259858.67,13911346.98
2021,Junho,PA,19599199.98,402.01,50.67,2767062.96,73135.41,4129759.39,22677353.24,61200473.15,14316241.75,97124724.16,91598017.87,3397729.13,4066480.08,5334438.51,40664002.70,658288.50,13007631.68,156452975.14,2117118.38,62403093.87,10060996.66,53015879.74,733298.80,50203298.41,7592684.76
2021,Junho,PB,4473653.17,-358.60,1490.53,2478840.62,49668.02,3605814.85,3697079.87,48168717.41,1389.72,38979384.71,59717055.89,1650965.58,538715.45,2426146.56,2913615.42,149298.57,22669.61,76200172.68,4081.84,28037526.46,3638.18,26835877.51,0.00,57111231.30,2646895.37
2021,Junho,PE,120153445.95,4324.73,0.00,22537015.90,2546822.82,76987071.33,39342424.39,108739505.58,208872.04,193473566.59,150373238.13,33194825.82,13359062.17,9130615.24,6341791.04,2207156.11,1361204.63,514590947.53,228125.27,146847863.60,159925.52,128697071.39,6163721.89,79384609.09,2203352.72
2021,Junho,PI,4597.11,-93.52,0.00,1977000.43,0.00,414.22,2867545.14,30998716.45,0.00,26950396.99,31380097.66,1384699.97,1590325.40,2769326.14,465969.58,692870.99,39968.46,46025912.78,6755.43,18224860.15,961.01,17513700.91,0.00,25444536.56,1968340.86
2021,Junho,PR,396317827.04,5738.78,60.11,6420033.04,11871436.07,191456467.84,171548761.82,359578756.78,19070401.34,615561719.75,370159285.37,82300185.93,55094585.34,29576702.61,103430698.30,2736353.65,12191719.47,1223374694.13,1985720.42,341399019.26,23888134.53,282217553.00,9649643.53,85315339.79,144980891.18
2021,Junho,RJ,258289518.36,183.46,3000038.80,17385208.52,24952100.76,180165621.62,103873695.48,571188719.84,144855868.76,2500840687.98,1230693757.15,2044858019.08,373835360.07,149989677.16,166142227.66,381967.71,159117525.22,2505941329.51,24367268.42,794214122.64,89698959.52,1178650363.02,698171.77,296278805.28,687540221.02
2021,Junho,RN,214297.84,4.67,0.00,784131.65,12585.35,162685.43,4357444.99,41535653.69,0.00,41322039.98,48677301.75,1688399.60,668747.14,2303980.63,1498989.35,55605.85,128969.03,66762507.49,20912.76,32422587.50,908.59,25847708.70,0.00,45421974.10,2585006.61
2021,Junho,RO,6720.69,-112.32,320.69,207623.20,28982.09,4328.32,6127190.19,26612765.48,475720.64,21442480.93,21500603.31,2362994.55,280488.02,1648822.05,13333921.75,193233.93,332463.41,45055665.28,53411.90,18028018.99,351780.49,12460451.26,0.00,26405621.89,1350849.92
2021,Junho,RR,18358.34,0.00,0.00,0.00,22195.32,19524.67,29292.33,7505854.81,2091.89,8120433.17,6443736.29,119790.72,59368.10,785339.16,28766.11,86730.80,4322.98,9821692.37,688.29,6281448.35,2094.93,4931266.73,0.00,14377895.40,1587593.73
2021,Junho,RS,130994246.88,50102.37,64077040.01,16860262.58,57105.99,193850701.71,195037937.98,418235933.55,45735660.27,589226031.60,434092576.89,87006921.34,46608664.52,37813921.15,138663964.04,2563796.01,48648899.88,1056778976.30,8061682.04,307646884.78,27782610.47,286766607.82,1660316.13,141011551.98,37347057.33
2021,Junho,SC,872951479.25,-3537.97,976.61,6998361.38,1045565.00,490797494.03,293031461.24,220501220.90,2181633.91,543678499.94,259540822.33,36393115.70,22750529.33,21713295.33,49089184.55,842326.85,1947024.57,1494306972.06,329798.33,375089523.42,1339012.61,263485315.47,0.00,59339499.75,39768812.92
2021,Junho,SE,229671.38,-349.83,498272.00,1747891.65,0.00,992738.53,8950313.53,33556057.52,275475.54,23946220.13,27729979.50,2264799.97,1249719.91,2617436.73,4010528.43,107729.23,1887537.16,47911415.59,317374.21,20652116.43,229777.65,20373623.94,0.00,22020485.42,3098070.86
2021,Junho,SP,2069675301.06,338216.37,1093736.72,56626362.03,145126049.08,861448275.09,1222740023.91,1778740766.29,1143334311.48,5499464605.62,3569118612.82,3923025432.71,2210421307.54,588714917.93,2553539805.69,4299138.76,1004401188.98,8178652857.31,143393473.35,2069759921.89,704494154.09,2394232607.69,7028658.77,170997759.99,582865367.72
2021,Junho,TO,1109.96,71.44,0.00,481629.03,0.00,0.00,1178253.86,18679629.94,35272.66,27111019.08,16268902.32,392202.31,1196540.72,932261.46,598683.39,1214451.29,29414.56,26731352.79,5138.20,13711681.41,25781.08,21410900.68,0.00,12110715.82,1543362.20
2021,Maio,AC,80558.09,0.00,0.00,183946.95,0.00,23317.66,27936.97,12895071.32,6996.50,10498535.32,8337603.05,477889.75,95196.28,840595.35,473994.95,32302.71,16839.81,13824770.78,2436.34,6727409.08,10131.13,6370192.82,0.00,8195520.29,593765.09
2021,Maio,AL,52831.63,1585.73,0.00,563240.71,14763.19,24819.66,8073991.66,74852358.80,1548.53,32301784.59,33771596.04,968860.18,257877.34,2093668.22,1047785.56,191522.61,30525.55,54542612.43,5623.07,22784519.85,870.57,18980339.27,10864.02,26520420.77,4221565.26
2021,Maio,AM,70948662.20,-3.26,0.00,2946608.78,104838.02,10136926.07,3857699.85,52364473.23,292139.53,217338797.64,78472105.61,7790043.53,48720897.80,5631168.93,3976574.74,111785.79,249766.45,387984430.03,40597.00,103358822.66,187472.08,155352361.39,0.00,27586961.48,43754938.10
2021,Maio,AP,4046.41,0.00,0.00,0.00,0.00,24898.24,274886.29,10793707.59,0.00,4762299.17,5497313.65,88897.63,149988.35,178345.56,59511.64,10891.58,5352.52,7494103.57,777.34,4550797.40,0.00,2388466.90,0.00,37134391.20,1777337.83
2021,Maio,BA,84356909.24,539.72,23596.51,12362535.42,3262.05,45247787.14,78236110.21,273171141.37,1830837.16,327801399.83,151498842.20,13179262.82,17412973.27,13892571.82,7182940.92,1741408.95,1965677.57,464096774.14,317034.10,143673491.61,1113608.54,206855577.01,873.00,73361585.53,45625328.17
2021,Maio,CE,97257331.69,-49.27,0.00,8935132.81,19225.40,46172026.90,47543435.68,207704711.15,24845615.78,120693043.28,165586967.90,11305593.37,5755245.68,12289165.09,4384924.73,137708.62,24991774.35,332898282.77,4067398.10,99068620.78,15576460.09,91118237.77,5701.28,55277389.40,49657440.35
2021,Maio,DF,2829083.26,975.27,0.00,1534297.19,8649.20,698717.61,1586008.99,293568324.38,578821864.18,333672820.05,3175575208.71,260518794.94,152844613.82,160435235.06,623331980.77,94441.02,291870909.06,507180442.45,49198111.87,368288687.70,450083587.24,161636227.74,0.00,1487322185.09,817607091.98
